Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
1-pentene	-4.49261735453787	2.5522767513803566	-0.5162637999097025	-0.3658599832424709	-3.9613226438440234	-5.631788894403548	0.09518411123886814	-1.4700694473035119	-3.822675335453449	2.9954188235144845	5.757667113136602
1-pentyne	-4.224138269298805	3.4578903265332053	4.278623701888815	1.3927592073447466	-0.9941077456509679	-2.3901530593893034	-2.096397630856635	1.7072121021966473	-3.005327872320419	-1.2172545701994806	5.616477761875675
1-propanethiol	-4.373493024312583	-2.3144687471879446	-4.493459820933228	-3.3308634543707827	-4.746633766771644	1.8379205675047101	-1.8551842973832606	-1.0586745494277183	-3.8043543392697297	-0.8978270152811253	-3.0241711881647966
2-3-4-Trihydroxybenz	-0.13943822874882358	-11.58062542860332	1.8703982491543092	0.19962912412605266	1.726708237551101	2.9893437977903976	-4.908379759155864	12.085017458177663	-1.6857518052240128	-0.6931163246872246	-2.7391387768115387
2-3-butanediol	-4.199998541064087	7.299129601053998	-4.410635687958264	-0.1134703531159021	-0.7521676122595407	-2.719209247129313	-1.306477256708989	3.7315213252733512	2.4025420699061395	-6.576998559637532	2.0793397761662216
2-Ethylphenol	-2.478882625973475	-11.938569818607263	1.6606010923514711	-1.9864216060213298	1.1149037849146204	0.2560506031830113	-0.8724162738321328	2.5093632980383953	-2.0410570682115834	-1.8365292984709713	0.7681437573950434
2-Hydroxy-1-naphthaldehyde	2.2658497305079037	-4.618309599820477	-4.4756274949840815	-8.553295384266331	-1.124317125592641	1.4919474447292922	1.7969617319713185	4.190124084740996	1.5732912214143753	2.2437772178947317	-0.23758545354815935
2-Methoxyphenol	-6.842242981721672	-12.020503517759368	1.769699476716649	1.9221501058994446	-9.815445081000506	-1.0280181089515306	-0.326664944964217	-4.004673339615667	-3.5579754245623327	-1.565457493261546	4.328371309646035
2-naphthylamine	0.23660542491530584	-9.818129058179021	-2.0408876443502044	-2.201817237118532	3.399419114477578	-1.575114511878239	-0.6418773474210386	-1.8402727730731459	7.703310770028813	-1.8046552371910054	5.103987337785058
2-napthol	0.9053508345743662	-8.138501217388075	-3.218997974769153	-8.685576803261194	-1.5286844120686558	-1.4815200474010732	3.5576540479790335	0.6663973994419894	0.18668846330615194	3.2464108748590665	4.215723273567138
2-Propylphenol	-1.6070060594098448	-11.979751134968561	1.1624407671510237	-1.7461861854494898	3.1557045216628814	2.5433192442928743	-0.09988689244214433	1.3876977777801711	-1.1792524770938844	-3.5985525159050233	-0.13828292761871502
3-Chloro-bicyclo-dimethyl_phosphate	4.679713940529892	-2.387427542510983	-9.38023857291908	-2.6722216411207955	6.322255894960729	1.5148959403567355	9.325845131209025	-0.1395837921396108	4.850476985800872	0.15655932615287274	4.064265737939685
3-chlorophenol	-1.5094985669210548	-0.05343306844827686	-4.000505440541922	-7.208785761936971	-1.5325058838929375	-4.427268366873483	-1.1560623233704683	0.6415069260492419	-3.238810786354947	-1.86176785736501	1.9892093049760435
3-nitrophenol	-1.6672285400151312	4.478549925058139	-2.1889355771366015	-0.6920483456839943	-0.04200531209344555	-5.171078891699658	-3.0383087901907424	-1.2050499892862252	-7.581980652043811	3.3498129108351415	-4.037009806003058
4-chlorophenol	-2.167242029675376	-1.4527153355716094	-7.936960623526673	-5.910023076380644	1.4131348494092486	1.6921202170532925	1.809021847625006	-4.58301820647497	0.038872998060883936	3.5903927126489945	6.0574759329510695
4-Ethylphenol	-3.1558077971632352	-11.598170664043474	-1.3544131243762128	-0.09279921798952222	3.9446379010670816	1.5177489002763407	-2.65458309395867	-4.643894159006493	-1.0424308390092303	3.2419933428693217	0.7328908139440212
4-Hydroxypentanoic_acid	-1.1441348885515616	-8.086272271574181	-0.7312806241500973	4.617154777531592	-2.766881027531541	-4.2142620651880005	5.973648047482769	0.6889011956312993	2.3479500551087527	-4.546374722017186	-4.202682097223036
4-methylphenol	-3.2870894108856024	-12.110945940455505	-1.71054963010132	-2.6059994572142715	-0.31576976340327517	-1.7696348932163077	-2.904686309847893	2.5006239712148446	1.6753210860303496	7.032598599681462	2.3115251682607827
4-nitrophenol	-0.7883845644219615	1.8425370169215425	-0.2879082282956287	-3.9680793548996505	-2.8988687372222	3.466919182586985	-4.641465930510163	0.456402695086871	-5.108121793677336	5.148696108031334	-8.835804738578995
