Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18
1-bromopentane	-2.541597439074229	-2.999944178603276	3.402894132381625	-1.7231460787353996	-8.228954014651151	-7.225715956721492	-1.6440937791246393	-5.4792995874921715	0.743408147791799	-8.022194772276832	5.301069781902628	1.098915177002043	-0.6648041072351486	10.273025200648497	1.1610857020058911	-5.4233527111956175	-4.107685621142239	1.158731768789632
1-bromopropane	-4.856135190798164	-2.138895814448986	1.4783478207536647	-6.228843241021213	-4.5030237322965805	1.0304979990499081	7.674644773641316	-1.1665873417015094	1.029713055312492	-0.47871391593284524	3.283825044709149	2.338550838366941	-4.0408583711576185	0.9384852391967704	1.6085569739155985	-4.244217743090011	-0.19768954270280434	1.5883932276563324
1-butene	-4.725658761185723	-1.4674389520962623	-4.535803122754809	-3.9779253833601382	1.2250245801539676	-2.1574706252671674	0.42539373392987506	-1.430043977821091	-0.6531012188829868	1.162001565673633	-2.376418146975751	-1.4976029844156356	-0.516864990244728	-2.3305734035685077	-2.2545714361582845	2.7727328746652495	-0.5460863379206025	2.8954504411581334
1-chloro-2,2,2-trifluoroethane	-2.18930865698953	-5.449118101824336	0.168073663090887	2.393405827082964	-6.8534965253028854	3.9073952287099916	1.3321240832907362	1.3128163368285204	-4.142408117691221	-4.520976944276202	7.7704617548056305	-1.237582085957303	5.364243965195037	0.7578539453119544	-7.578514675452204	0.14291774927850331	5.180112018347498	-0.359140391924965
1-chloro-2,2,2-trifluoroethyl_difluoromethyl_ether	-0.029362913742000347	-0.9113072083892312	9.336110646400153	6.937041609927472	-4.7394586529193345	7.891328062935628	-1.7165918854247102	1.5765208162586632	2.071274678932087	0.4516564601447294	3.8371996755066884	3.312984809749835	7.923183777606622	3.0123508030760244	-5.919493548604469	9.527736161021508	7.141044007385972	3.5257651202918896
1-chloropentane	-1.3306383840826348	-5.628923601428652	0.3850952946237783	-0.07200723236343624	4.289318206453809	4.1116086244433045	-2.6419352930459956	7.557640878883501	8.065144807508398	-4.5717630963729246	8.140799947156633	1.4956708865840913	-6.167477253677953	-6.469364437139935	-0.3713036420602486	-0.3592411046096931	5.692989616628223	2.104555544765689
1-chloropropane	-4.1607543039172175	-4.321820969020067	-0.8768821983719529	-3.6532231537371747	6.777827122211095	0.637156548013118	-1.5257334622367429	1.1541897601656579	-2.5555414647540835	-0.6814826404744476	3.3262014772942807	-0.1027090142515063	-4.3102414280712855	3.5769008444756007	-2.4134196651223467	1.7518360049251993	-0.2707710913834957	-1.3601998297072957
1-hexene	-3.2664013619545504	-1.3860934805654752	1.9512398809449	-1.5307296784853321	9.929316517501421	-1.219472664496771	2.2720967318841048	-1.9433731202296791	0.19030969465500558	1.2430402961572096	2.3080524365193313	-1.7222269957319876	-4.562146046758652	-1.7918404711298566	-2.624191510503158	-4.729197458801732	-2.040807979518963	2.174889379590734
1-hexyne	-2.5415859773318528	-3.9375638923760325	-1.2642421051244004	-1.7339240574377544	7.669845442303135	3.3405637456009387	4.4724781761355334	2.37403902183738	-2.3693476527739517	-0.8500594726189726	0.09513236534004914	-0.2331146874282258	-3.898022632097149	2.0769336978629127	-8.526156180716237	0.5784571810701469	-3.641561302758688	3.507675933459121
1-methylthymine	-1.1825379987845692	1.6442177596886878	-0.006391347027205855	2.516582224615588	3.136554376926894	1.3378172141167763	2.365301849394295	-4.404961206082851	1.6421468581503516	-7.535883321986975	-4.90315586118551	-6.842897472978432	-8.31909555637355	2.365936940275891	0.1373744394119964	1.7375993517137767	8.116373756031297	-9.704447551582346
1-nitrobutane	-1.3367610174994031	-1.8137892105070517	0.24986874136723197	-1.4790516857965994	8.601524285457756	0.9446744771522626	-5.744763349928307	-0.13849536392582004	-3.8244675747247525	4.444037617637102	-3.2897195391072964	3.9407717349237403	3.247701794219021	4.650047341178907	4.33990634183085	-2.410845064302493	-0.1384631139811912	-0.49996657383159193
1-nitropropane	-1.275497319549953	-3.1619177053420584	-2.8239582327560293	-3.3986766326348983	-0.9288069939101562	6.6765792693137165	-3.889163252620859	4.052001863648035	-1.0174559797339058	-0.5345212577149784	3.6934531666177044	3.8739977908477248	1.6473913084835703	-2.591470265797253	-3.4154338375312863	0.3626330689983637	-0.9773423480939536	-1.6068189806962219
1-pentene	-3.751574069664072	-3.823941938297131	-1.7044526846000478	-2.444643318558142	6.830167080811662	-0.580217484813454	3.435730916607852	-2.760841520694384	8.269520537129115	-1.3033021735680497	1.2563774135683383	1.7454343720111984	4.556726487466067	-2.045583274237579	-2.9058181696116403	-4.9513984789973975	2.9670307742389133	-1.5150110363084797
1-pentyne	-3.939850045736325	-5.645361328223651	-2.318420280468979	-1.8964688379482362	3.077031776136941	-0.6401477867488093	1.7812258399637009	-0.5691522362496653	2.155828101628832	-5.290621296579977	5.767215013365263	4.677993104891597	2.0611521814720595	-5.533567491421996	0.49277966243794247	-1.0529960219371637	-0.011837657232110917	0.6481424288063516
1-propanethiol	-4.626921791907269	0.020188678145902278	-4.180038270551508	1.2494352050638386	0.5583153104303252	-1.411228094801036	-0.050149146698667546	-0.8716649415766135	-4.087351403189951	-1.9755300379536862	-4.491912825133677	-1.099307437786699	4.755572585055748	0.3135651776538638	-1.360488379784942	3.078347065583104	3.1726320245338777	-1.0828222291138578
2,2,2-trifluoroethanol	-7.249528452270144	1.6969387509296958	-9.743634229015356	-5.221204568259245	5.536333632107348	3.4516006063574376	4.179164727073677	-4.2360307054172885	1.1288646255481989	-0.8814102989139857	3.8242463811383978	-1.2347405529743412	-2.6773189022536075	1.5644309971923498	1.220344394092434	3.484250556289586	0.32769504791753	-2.34117113658676
