Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
1-chloro-2,2,2-trifluoroethyl_difluoromethyl_ether	-4.049241021852594	-3.1986358678165168	9.957013927264882	2.361486808241835	8.286256190960371	10.068231159379897	7.487365128255684	9.986108921645137	1.2942871686028161	8.002881240411012	-4.020198507351178	3.0550172323975406	-2.4091462534519086	3.2932326815512294	0.7415843028909772	-1.9255695627268605
1-chloropentane	-3.027355857939456	-4.368438750021894	-1.5861243632324333	5.188924165357505	0.5893138660008245	-3.7724582147104004	7.297715812676368	-1.1550883411005182	-0.2954368283522874	11.802788028699474	5.672704580212437	-11.782767790011274	-6.076197504880216	16.015774931984204	-4.265826103327207	-1.3061348617540969
1-chloropropane	-2.065245133498806	-8.505826837371389	-4.718816747358157	-1.3327927502372696	-0.32166397049542	-4.727994765915758	-0.5624466537383747	-3.006238395665916	0.6192650267096711	1.7291810564471224	-3.323694986999028	4.530917719139744	-3.4978012571746757	-1.6364390458586362	0.22749196005120026	-1.437269404469596
1-hexene	-1.2256825057421752	-7.23030274042082	3.3551990985981854	-4.050541531794337	-6.367530206143089	-7.256512495066436	-4.487878640092965	-5.6834526933649165	-2.7363963308491925	4.0916007779729595	1.3570176999746857	-2.480555473923657	5.835764070953458	-3.041602261235591	-1.8758493156830098	9.034984159664043
1-hexyne	-2.234228532202735	-5.929342574613127	-0.7204306657981774	-3.1463736372446123	-1.6926115690796801	-5.621267672605057	0.20413514361925167	-1.846632400591619	4.198821621212017	4.945502503431776	-5.642728396933493	6.308446869635824	2.0971008759208827	0.546935131738914	-5.710608595067799	3.2161903838820183
1-methylthymine	-1.4969693199542577	13.909436019633253	6.946671668534662	36.63587339022478	-0.5355871323141402	-8.748817196866087	-2.3754687381043142	-1.5792751155032803	6.916748124789874	-5.966273701009129	-3.944839096688744	3.737826241324334	3.095640971437394	-0.8279271411151997	-4.055235002533139	-0.031955186315730744
1-nitrobutane	-2.2844840312009462	-3.244047416004789	-8.381203601097315	-5.109611535116671	-13.21996504891381	-5.136715628381255	0.7532224501439527	13.530850903798202	0.38676858372226414	-5.4745713455158995	3.9634248589549608	-3.3189628486887672	6.6447266002057255	-8.758393808604891	-5.136243281198823	4.751106612702395
1-nitropropane	-2.0667520778482475	-0.8936829504537385	-4.259902298796239	-0.8161500441998782	-10.798406407616692	-2.183625394598605	7.322451552525385	10.704084968441363	3.8594018188768193	-1.6621397785756344	-1.8519484384083826	-0.6085009381119142	-10.233628145358862	-1.38516181621102	-5.407523417514353	0.32904872129405294
1-pentene	-0.495973590067549	-5.722703641290212	0.7999353376203845	-0.06399380242515568	-4.283006236800769	-2.4327545130798143	-2.4715509481560054	-0.18705787943439794	2.563267973961145	7.045250912726537	-4.60018761948118	-7.072860937896181	0.7130454863917172	-5.695329879843672	-2.4684365074561034	-0.5538833109049797
1-pentyne	-1.5422945175306946	-6.863994900234253	0.2788901776549845	-1.2559558546528926	-1.5295633944881672	-5.252254961887669	0.3029328923076223	-5.246916820667814	1.8928128000720696	3.7090670352610795	-4.019620619382551	-1.4582515786428345	-4.932778955697676	0.008819427684194501	1.3615756745962553	0.5521483816000089
1-propanethiol	-0.41609679979767544	-0.3448617433840942	-1.8701836241423009	0.3924542770347323	-0.1367410653353402	3.2639734540807157	-5.707018406796265	-0.09403965818938748	2.72356444789664	-3.7655068729987002	-8.087091999802402	-2.6829784892820867	0.2986089293659974	1.9083086716683706	-3.750058528885595	-3.7309757874377056
2-3-4-Trihydroxybenz	-4.266928712523	11.091322791355243	-0.7997289288402221	-11.90996360103337	-2.5156807363000833	-4.232838095043403	20.976312976003484	-21.45281546070708	2.2755039492618483	-5.628327434363829	9.116613856665897	7.2583440875284495	2.8317913008297686	3.6099944832234745	-3.411887878113181	-4.520553030588194
2-3-butanediol	-2.0529576022026985	-6.069582026566905	-0.5494649656017144	-0.44939139623671115	-2.7883399118748775	1.0324383926324796	-2.5184761585697726	-5.175899538071103	-3.835317639136654	-4.2248549925051915	4.467006896484497	2.6660321483216274	-2.699164668784563	1.6190080363179196	5.019131224206468	0.31155368101238323
